"","","Individual_2019","Individual_2024","Company_2019","Company_2024","Trade Union_2019","Trade Union_2024","Unincorporated<br>Association_2019","Unincorporated<br>Association_2024","Friendly Society_2019","Friendly Society_2024","Limited Liability Partnership_2019","Limited Liability Partnership_2024"
"1","Conservative Party","£5,447,646","£663,918","£3,173,000","£125,000","","","","£78,500","","","£20,000",""
"2","Labour Party","£60,000","£4,807,400","£50,000","£520,000","£3,586,000","£132,908","£10,500","","","£30,000","",""
"3","Liberal Democrats","£435,000","£260,000","£91,000","£529,999","","","","","","","",""
"4","Reform UK","£2,500,000","£332,000","","£550,000","","","","","","","",""
"5","SNP","","£127,998","£10,000","","","","","","","","",""
"6","Green Party","£57,750","£20,000","£10,000","","","","","","","","",""
"7","Plaid Cymru","£70,000","","","","","","","","","","",""
"8","Climate Party","","","","£25,000","","","","","","","",""
"9","Social Democratic Party","","£25,000","","","","","","","","","",""
"10","Alliance","£10,000","","£50,000","","","","","","","","",""
"11","Total","£8,580,396","£6,236,316","£3,384,000","£1,749,999","£3,586,000","£132,908","£10,500","£78,500","£0","£30,000","£20,000","£0"
