"","RegulatedEntityName","Week 1 2019","Week 1 2024"
"1","Conservative and Unionist Party","£5,673,646","£  574,918"
"2","Labour Party","£  218,500","£1,046,908"
"3","Liberal Democrats","£  275,000","£  454,999"
"4","Reform UK","£  250,000","£  140,000"
"5","Scottish National Party (SNP)","£        0","£  127,998"
"6","Green Party","£   30,000","£        0"
"7","Climate Party","£        0","£   25,000"
"8","Social Democratic Party","£        0","£   25,000"
"9","Alliance - Alliance Party of Northern Ireland","£   60,000","£        0"
"10","Total","£6,507,146","£2,394,823"
